year,recycling_rate
2012-13,49.136205
2013-14,48.22037
2014-15,51.201742
2015-16,61.580455
2016-17,65.230108
2017-18,62.738279
2018-19,61.585723
2019-20,64.986396
2020-21,66.953653
2021-22,66.818339
2022-23,64.821232
2023-24,64.280437
